Invoice No,actual_shipment_date,Cust Po,Pick Ticket,customer.customer_id,customer.customer_name,order_number,PO Date,product.ndc,product.description,Category,Source,Batch,Exp Date,shipped_quantity,Size/dimensions,Pill Count,unit_selling_price,Freight,Gross_sales,Discount,Final Inv Amt,MM-YEAR,Contract ID,DEANO,DEA Exp Date,State Lic,State Lic Exp Dt,Ship To Code,Customer Name,STREET,address.city,address.state,address.postal_code,Shipping Method,Trecking No,Rxtpl Delivery No,RxtplInvoiceNo,Transfer_price,contract_price,ordered_quantity
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-215-90,FENOFIBRATE TABLETS USP 160 MG 90'S,Non-controlled,MANKIND PHARMA LTD UNIT-3,V8JKV010,8/31/2025,12,90'S,0,35,0,420,0,420,Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,1ZA02E120305019440 1ZA02E120305019440 1ZA02E120305019440 1ZA02E120305019440 1ZA02E120305019440,,,,,,
6027778,2/28/2023,8155947714,20127845,1020909,MCKESSON FINANCIAL CENTER,1027911,3/1/2023,70756-807-51,LANSOPRAZOLE DELAYED RELEASE CAPSULES30,Non-controlled,Inventia Healthcare Limited,A3IOV011,8/31/2024,6,500,"3,000.00",48.05,0,288.3,0,288.3,Mar-23,LPMCK001,RM0456411,12/31/2023,,,1020924,MCKESSON DC# 8155,1 JOHN HENRY DR,ROBBINSVILLE,NJ,8691,,,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-701-30,ALOSETRON TABLETS USP 1 MG 30S,Non-controlled,MANKIND PHARMA LTD UNIT-3,Q3JKV005,10/31/2025,60,30'S,0,310,0,"18,600.00",0,"18,600.00",Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,1ZA02E120305014285 1ZA02E120305014285 1ZA02E120305014285,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-201-12,AMITRIPTYLINE HCL TABLETS USP 10MG-1000s,Non-controlled,MANKIND PHARMA LTD UNIT-3,Z0JKV003,7/31/2025,96,1000'S,0,65,0,"6,240.00",0,"6,240.00",Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-202-11,AMITRIPTYLINE HCL TABLETS USP 25MG-100S,Non-controlled,MANKIND PHARMA LTD UNIT-3,Z6JKW001,12/31/2025,192,100'S,0,8.5,0,"1,632.00",0,"1,632.00",Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-203-11,AMITRIPTYLINE HCL TABLETS USP 50MG-100S,Non-controlled,MANKIND PHARMA LTD UNIT-3,1AJKW001,11/30/2025,168,100'S,0,18.5,0,"3,108.00",0,"3,108.00",Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-215-90,FENOFIBRATE TABLETS USP 160 MG 90'S,Non-controlled,MANKIND PHARMA LTD UNIT-3,V8JKV010,8/31/2025,48,90'S,0,35,0,"1,680.00",0,"1,680.00",Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,1ZA02E120305014294 1ZA02E120305014294 1ZA02E120305014294 1ZA02E120305014294,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-215-51,FENOFIBRATE TABLETS USP 160 MG 500'S,Non-controlled,MANKIND PHARMA LTD UNIT-3,V9JKV048,9/30/2025,6,500'S,0,194.45,0,"1,166.70",0,"1,166.70",Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-214-90,FENOFIBRATE TABLETS USP 54 MG 90'S,Non-controlled,MANKIND PHARMA LTD UNIT-3,V3JKV004,8/31/2025,24,90'S,0,19.15,0,459.6,0,459.6,Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,1ZA02E120305014267 1ZA02E120305014267 1ZA02E120305014267,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-812-90,OLME MEDO & HCTZ TABS 20MG/ 12.5MG 90'S,Non-controlled,UMEDICA LABORATORIES PVT LTD,U22T0923A,7/31/2024,24,90'S,0,30,0,720,0,720,Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-814-30,OLME MEDO & HCTZ TABS 40MG/ 25MG 30'S,Non-controlled,UMEDICA LABORATORIES PVT LTD,U22T1267A,11/30/2024,72,30'S,0,12,0,864,0,864,Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-814-90,OLME MEDO & HCTZ TABS 40MG/ 25MG 90'S,Non-controlled,UMEDICA LABORATORIES PVT LTD,U22T1234A,11/30/2024,96,90'S,0,36,0,"3,456.00",0,"3,456.00",Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-704-60,RANOLAZINE ER TABLETS 1000MG 60'S PACK,Non-controlled,MANKIND PHARMA LTD UNIT-3,S3JKV010,9/30/2025,84,1000MG,0,28.05,0,"2,356.20",0,"2,356.20",Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,1ZA02E120305014258,,,,,,
6027779,2/27/2023,C5295458KAN,20127793,1018223,CARDINAL HEALTH INC,1027814,3/1/2023,70756-703-60,RANOLAZINE ER TABLETS 500MG 60'S PACK,Non-controlled,MANKIND PHARMA LTD UNIT-3,S0JKV022,10/31/2025,252,500MG,0,17.5,0,"4,410.00",0,"4,410.00",Mar-23,LPCAH001,RW0191926,5/31/2023,900554,10/31/2023,1018245,CARDINAL HEALTH-DC KAN# 27,7601 NE GARDNER AVE,KANSAS CITY,MO,64120,,1ZA02E120305014276 1ZA02E120305014276,,,,,,
6027780,2/28/2023,820531817,20127834,1057760,CVS CAREMARK,1027852,3/1/2023,70756-814-90,OLME MEDO & HCTZ TABS 40MG/ 25MG 90'S,Non-controlled,UMEDICA LABORATORIES PVT LTD,U22T1234A,11/30/2024,288,90'S,0,5.69,0,"1,638.72",0,"1,638.72",Mar-23,LPCVS002,BC9180061,8/31/2025,PP481166,8/31/2023,1057762,CAREMARKWILKESBARRE,1 GREAT VALLEY BLVD,WILKES-BARRE,PA,18706,,1ZA02E120305014481,,,,,,
6027780,2/28/2023,820531817,20127834,1057760,CVS CAREMARK,1027852,3/1/2023,70756-812-90,OLME MEDO & HCTZ TABS 20MG/ 12.5MG 90'S,Non-controlled,UMEDICA LABORATORIES PVT LTD,U22T0923A,7/31/2024,144,90'S,0,3.52,0,506.88,0,506.88,Mar-23,LPCVS002,BC9180061,8/31/2025,PP481166,8/31/2023,1057762,CAREMARKWILKESBARRE,1 GREAT VALLEY BLVD,WILKES-BARRE,PA,18706,,1ZA02E120305014454 1ZA02E120305014454,,,,,,
6027780,2/28/2023,820531817,20127834,1057760,CVS CAREMARK,1027852,3/1/2023,70756-201-12,AMITRIPTYLINE HCL TABLETS USP 10MG-1000s,Non-controlled,MANKIND PHARMA LTD UNIT-3,Z0JKV003,7/31/2025,48,1000'S,0,10.8,0,518.4,0,518.4,Mar-23,LPCVS002,BC9180061,8/31/2025,PP481166,8/31/2023,1057762,CAREMARKWILKESBARRE,1 GREAT VALLEY BLVD,WILKES-BARRE,PA,18706,,1ZA02E120305014463 1ZA02E120305014463,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-702-30,ALOSETRON TABLETS USP 0.5 MG 30'S,Non-controlled,MANKIND PHARMA LTD UNIT-3,Q0JKV003,10/31/2025,24,30'S,0,26.8,0,643.2,0,643.2,Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-701-30,ALOSETRON TABLETS USP 1 MG 30S,Non-controlled,MANKIND PHARMA LTD UNIT-3,Q3JKV005,10/31/2025,24,30'S,0,30.6,0,734.4,0,734.4,Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,1ZA02E120305014909 1ZA02E120305014909 1ZA02E120305014909,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-011-11,CHLORTHALIDONE TABLETS USP 25 MG 100S,Non-controlled,MANKIND PHARMA LTD UNIT-3,5UJKV002,7/31/2024,144,100CT.,0,1.98,0,285.12,0,285.12,Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,1ZA02E120305014785 1ZA02E120305014785,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-011-12,CHLORTHALIDONE TABLETS USP 25 MG 1000S,Non-controlled,MANKIND PHARMA LTD UNIT-3,YGJKV002,8/31/2024,24,1000CT.,0,19,0,456,0,456,Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,1ZA02E120305014758 1ZA02E120305014758 1ZA02E120305014758,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-405-11,CLOMIPRAMINE HYDROCHLORIDE CAPSULES 25MG,Non-controlled,MANKIND PHARMA LTD UNIT-3,VNJKV001,8/31/2025,144,25MG,0,6.35,0,914.4,0,914.4,Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-427-11,"DOXEPIN HCL CAPS, USP 75 MG 100S",Non-controlled,MANKIND PHARMA LTD UNIT-3,6DJKV001,4/30/2024,48,100CT.,0,7.14,0,342.72,0,342.72,Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,1ZA02E120305014838 1ZA02E120305014838,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-215-51,FENOFIBRATE TABLETS USP 160 MG 500'S,Non-controlled,MANKIND PHARMA LTD UNIT-3,V9JKV048,9/30/2025,96,500'S,0,16,0,"1,536.00",0,"1,536.00",Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,1ZA02E120305014856,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-215-90,FENOFIBRATE TABLETS USP 160 MG 90'S,Non-controlled,MANKIND PHARMA LTD UNIT-3,V8JKV010,8/31/2025,144,90'S,0,3,0,432,0,432,Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,1ZA02E120305014829 1ZA02E120305014829,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-214-90,FENOFIBRATE TABLETS USP 54 MG 90'S,Non-controlled,MANKIND PHARMA LTD UNIT-3,V3JKV004,8/31/2025,144,90'S,0,2,0,288,0,288,Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-807-51,LANSOPRAZOLE DELAYED RELEASE CAPSULES30,Non-controlled,Inventia Healthcare Limited,A3IOV011,8/31/2024,144,500,"72,000.00",14.25,0,"2,052.00",0,"2,052.00",Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,,,,,,,
6027781,2/24/2023,511610,20127799,1022858,SOUTH POINTE WHOLESALE INC,1027820,3/1/2023,70756-807-90,LANSOPRAZOLE DELAYED RELEASE CAPSULES 30,Non-controlled,Inventia Healthcare Limited,A2IOV011,6/30/2024,144,90,"12,960.00",3.15,0,453.6,0,453.6,Mar-23,LPSPW001,RS0312188,2/29/2024,W01135,9/30/2023,1022859,SOUTH POINTE WHOLESALE INC,321 MATTHEWS MILL RD,GLASGOW,KY,42141,,1ZA02E120305014767,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-703-60,RANOLAZINE ER TABLETS 500MG 60'S PACK,Non-controlled,MANKIND PHARMA LTD UNIT-3,S0JKV022,10/31/2025,84,500MG,0,17.5,0,"1,470.00",0,"1,470.00",Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-814-90,OLME MEDO & HCTZ TABS 40MG/ 25MG 90'S,Non-controlled,UMEDICA LABORATORIES PVT LTD,U22T1234A,11/30/2024,120,90'S,0,36,0,"4,320.00",0,"4,320.00",Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-813-90,OLME MEDO & HCTZ TABS 40MG/ 12.5MG 90'S,Non-controlled,UMEDICA LABORATORIES PVT LTD,U22T1165A,10/31/2024,144,90'S,0,36,0,"5,184.00",0,"5,184.00",Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-812-90,OLME MEDO & HCTZ TABS 20MG/ 12.5MG 90'S,Non-controlled,UMEDICA LABORATORIES PVT LTD,U22T0923A,7/31/2024,216,90'S,0,30,0,"6,480.00",0,"6,480.00",Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,1ZA02E120305014605 1ZA02E120305014605 1ZA02E120305014605,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-806-30,LANSOPRAZOLE DELAYED RELEASE CAPSULES 15,Non-controlled,Inventia Healthcare Limited,A0IOV006,5/31/2024,84,30,"2,520.00",5,0,420,0,420,Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-214-90,FENOFIBRATE TABLETS USP 54 MG 90'S,Non-controlled,MANKIND PHARMA LTD UNIT-3,V3JKV004,8/31/2025,24,90'S,0,19.15,0,459.6,0,459.6,Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-215-90,FENOFIBRATE TABLETS USP 160 MG 90'S,Non-controlled,MANKIND PHARMA LTD UNIT-3,V8JKV010,8/31/2025,60,90'S,0,35,0,"2,100.00",0,"2,100.00",Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,1ZA02E120305014507 1ZA02E120305014507 1ZA02E120305014507 1ZA02E120305014507,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-203-12,AMITRIPTYLINE HCL TABLETS USP 50MG-1000S,Non-controlled,MANKIND PHARMA LTD UNIT-3,0AJKV003,9/30/2025,24,1000'S,0,180,0,"4,320.00",0,"4,320.00",Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,1ZA02E120305014696 1ZA02E120305014696 1ZA02E120305014696 1ZA02E120305014696,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-203-11,AMITRIPTYLINE HCL TABLETS USP 50MG-100S,Non-controlled,MANKIND PHARMA LTD UNIT-3,1AJKV002,9/30/2025,48,100'S,0,18.5,0,888,0,888,Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-202-11,AMITRIPTYLINE HCL TABLETS USP 25MG-100S,Non-controlled,MANKIND PHARMA LTD UNIT-3,Z6JKV006,9/30/2025,264,100'S,0,8.5,0,"2,244.00",0,"2,244.00",Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,1ZA02E120305014516 1ZA02E120305014516 1ZA02E120305014516,,,,,,
6027782,2/27/2023,C5292403SYR,20127823,1018223,CARDINAL HEALTH INC,1027784,3/1/2023,70756-701-30,ALOSETRON TABLETS USP 1 MG 30S,Non-controlled,MANKIND PHARMA LTD UNIT-3,Q3JKV005,10/31/2025,12,30'S,0,310,0,"3,720.00",0,"3,720.00",Mar-23,LPCAH001,PC0003044,5/31/2023,34368,1/31/2025,1018239,CARDINAL HEALTH-DC SYR# 3,6012 MOLLOY ROAD,SYRACUSE,NY,13211,,,,,,,,
